ABUSE CARE FACILITY ATM
MOTOR VEHICLE THEFT ATM
OBSCENE MATTER ATM
OBSCENE TEL CALLS ATM
OBSCENITY ATM
OBSTRUCTING IDENTIF ATM
OBSTRUCTING JUSTICE ATM
OTHER ARSON INCIDENT ATM
OTHER CRIME PERSON ATM
OTHER CRIME PROPERTY ATM
OTHER PROSTITUTION ATM
OTHER VEH. OFFENSE ATM
OTHER VIOLATION ATM
PAROLE VIOLATION ATM
PATRONIZE JUV PROST ATM
PAY TV SERVICE OFF ATM
PEEPING TOM ATM
PIMPING ATM
POCKET-PICKING ATM
POSS AMPHETAMINES ATM
POSS BARBITUATES ATM
POSS BURGLARY TOOLS ATM
POSS CANNABIS <= 30G ATM
POSS COCAINE ATM
POSS CRACK ATM
POSS DRUG EQUIPMENT ATM
POSS EXPLOSIVE ATM
POSS FIREARM ATM
POSS HALLUCINOGENS ATM
POSS HEROIN(WHITE) ATM
POSS HYPOD. NEEDLE ATM
POSS LOOK DRUGS ATM
POSS METHAMPHET. ATM
POSS PCP ATM
POSS SYNTH. DRUGS ATM
PREDATORY ATM
PRO EMP HANDS INJ ATM
PROBATION VIOLATION ATM
PROHIBITED PLACES ATM
PROST CALL OPERATION ATM
PUBLIC DEMONST. ATM
PUBLIC INDECENCY ATM
PURSE-SNATCHING ATM
RECKLESS CONDUCT ATM
RECKLESS FIREARM  ATM
RECKLESS HOMICIDE ATM
RESIST OFFICER ATM
RETAIL THEFT ATM
SALE DRUG PARAPH ATM
SALE OBSCENE MINOR ATM
SALE TOBACCO MINOR ATM
SELL FIREWORKS ATM
SELL LIQUOR TO MINOR ATM
SEX ASSLT CHILD FAM  ATM
SEX EXPL CHILD ATM
SEX OFF FAIL REG ADD ATM
SEX OFF FAIL TO REG ATM
SEX OFF PROHIBITED  ATM
SEX REL. IN FAMILY ATM
SOL NARC PUBLICWAY ATM
SOLICIT PUBLIC WAY ATM
STOLEN PROP BUY ATM
STRONGARM  ATM
TAMPER WITH VEHICLE ATM
TELEPHONE THREAT ATM
THEFT <=$500 ATM
THEFT > $500 ATM
THEFT AUTO ATM
THEFT BUILDING ATM
"THEFT CYCLE, SCOOTER ATM"
THEFT FROM COIN-OP  ATM
THEFT MOTOR VEH ATM
THEFT OF LABOR ATM
THEFT OF LOST PROP ATM
"THEFT TRUCK,BUS ATM"
UNAUTHORIZED VIDEO ATM
UNIDENTIFIABLE SOUND ATM
UNLAWFUL  HANDGUN ATM
UNLAWFUL ENTRY ATM
UNLAWFUL INTERFERE ATM
UNLAWFUL POSS AMM ATM
UNLAWFUL POSS ARM ATM
UNLAWFUL POSS GUN ATM
UNLAWFUL RESTRAINT ATM
UNLAWFUL USE COMPUT ATM
UNLAWFUL USE FIREARM ATM
UNLAWFUL USE RIFLE ATM
UNLAWFUL USE SOUND ATM
UNLAWFUL USE WEAPON ATM
VEHICLE TITLE OFF ATM
VEHICULAR HIJACKING ATM
VIO CIVIL NO CONTACT ATM
VIO DOM VIOLENCE ATM
VIO GPS DEVICE ATM
VIO OFF DUTY  ATM
VIO OFF FAIL  ADDR ATM
VIO OFF REGISTRAT ATM
VIO ORDER PROTECT ATM
VIO SMOKING BAN ATM
VIO STALKING ORDER ATM
VIO SUMMARY CLOSURE ATM
WEAPONS VIOLATION ATM
ABUSE CARE FACILITY BUS
AGG BUS
AGG A CHILD BUS
AGG COMP TAMPERING BUS
AGG CRIM SEX  ABUSE BUS
AGG CRIM SEX  FAM BUS
AGG DANG WEAPON BUS
AGG DOM DANG WEAPON BUS
AGG DOM FIREARM BUS
AGG DOM HANDGUN BUS
AGG DOM KNIFE  INST BUS
AGG DOM SERIOUS  BUS
AGG HANDGUN BUS
AGG HANDS MINOR INJ BUS
AGG HANDS NO INJ BUS
AGG HANDS SER INJ BUS
AGG IDEN.THEFT BUS
AGG KNIFE BUS
AGG OTHER FIREARM BUS
AGG PRO EMP FIREARM BUS
AGG PRO EMP KNIFE BUS
AGG PRO EMP WEAPON BUS
AGG PRO SERIOUS INJ BUS
AGG SENIOR CITIZEN BUS
AGG SEX ASSLT CHILD BUS
AGG VEH. HIJACKING BUS
AIDING ARR.ESCAPE BUS
ALTER PRESCRIPTION BUS
ANIMAL ABUSE BUS
ANIMAL FIGHTING BUS
ARMED  INFLUENCE BUS
ARMED DANG WEAPON BUS
ARMED FIREARM BUS
ARMED HANDGUN BUS
ARMED KNIFE BUS
ARSON BY FIRE BUS
ARSON THREAT BUS
ASSAULT SIMPLE BUS
ATT AGG KNIFE BUS
ATT AGG OTHER BUS
ATT AGG SEX ABUSE BUS
ATT ARMED FIREARM BUS
ATT ARMED-HANDGUN BUS
ATT ARSON BUS
ATT AUTOMOBILE BUS
ATT CRIM SEX  ABUSE BUS
"ATT CYCLE, SCOOTER BUS"
ATT FIN IDEN THEFT BUS
ATT FORCIBLE ENTRY BUS
ATT HANDGUN BUS
ATT NON-AGG BUS
ATT POSS CANNABIS BUS
ATT POSS NARCOTICS BUS
ATT STRONGARM BUS
ATT THEFT BUS
"ATT TRUCK, BUS BUS"
BATTERY SIMPLE BUS
BIGAMY BUS
BOARD PLANE WEAPON BUS
BOGUS CHECK BUS
BOMB THREAT BUS
CANNABIS PLANT BUS
CHILD ABANDONMENT BUS
CHILD ABDUCTION BUS
CHILD ABUSE BUS
CHILD PORNOGRAPHY BUS
COMMERCIAL SEX ACTS BUS
COMPELLING ORG MEMB BUS
COMPUTER FRAUD BUS
CONCEALED LICENSE BUS
CONT MAINT RECORD BUS
CONTAINER THEFT BUS
CONTR CRIM  JUVENILE BUS
CONTR DELINQ CHILD BUS
COUNTERF CHECK BUS
COUNTERF DOCUMENT BUS
CR. DRUG CONSPIRACY BUS
CREDIT CARD FRAUD BUS
CRIM DAMAGE PROP BUS
CRIM DAMAGE VEHICLE BUS
CRIM DEFACEMENT BUS
CRIM SEX  ABUSE BUS
CRIM SEX ABUSE FAM BUS
CRIM SEX ASSAULT  BUS
CRIM TRANS OF HIV BUS
CRIM TRESPASS  BUS
CRIM TRESPASS LAND BUS
CYBERSTALKING BUS
DECEPTIVE PRACTICES BUS
DEFACE IDENT FIREARM BUS
DEL CONT PERSON <18 BUS
DELIVER BARBITUATES BUS
DELIVER COCAINE BUS
DOM. BATTERY SIMPLE BUS
EAVESDROPPING BUS
EDUC INTIMIDAITON BUS
EMBEZZLEMENT BUS
ENDANG LIFE CHILD BUS
ESCAPE BUS
EXTORTION BUS
FALSE FIRE ALARM BUS
FALSE POLICE REPORT BUS
FALSE TRP BUS
FIN EXPLOIT-ELDERLY BUS
FIN THEFT <=$300 BUS
FIN THEFT >$300 BUS
FIRST DEGREE MURDER BUS
FOID - REVOCATION BUS
FORCIBLE DETENTION BUS
FORCIBLE ENTRY BUS
FORFEIT PROPERTY BUS
FORGERY BUS
FOUND PASSPORT BUS
FOUND S. NARCOTICS BUS
FRAUD GAME BUS
GAME DEVICE BUS
GAME/CARDS BUS
GAME/DICE BUS
GUN OFF DUTY CHANGE BUS
GUN OFF DUTY REG BUS
GUN OFF NOTIFICATION BUS
GUN OFF REGISTRATION BUS
HARASSMENT BY ELECT BUS
HARASSMENT BY TEL. BUS
HARBOR RUNAWAY BUS
HAZARDOUS MAT VIO BUS
HOME INVASION BUS
ILLEGAL CASH CARD BUS
ILLEGAL CONS MINOR BUS
ILLEGAL POSS CARD BUS
ILLEGAL POSS MINOR BUS
IMPERSONATION BUS
INDECENT SOLICIT BUS
INST. VANDALISM BUS
INSURANCE FRAUD BUS
INTERFERE EDUCATION BUS
INTERFERE J PROCESS BUS
INTIMIDATION BUS
INTOX. COMPOUNDS BUS
KIDNAPPING BUS
LIBRARY THEFT BUS
LICENSE VIOLATION BUS
LIQ. LIC. VIOLATION BUS
LOST PASSPORT BUS
MANU AMPHETAMINES BUS
MANU CANNABIS <=10G  BUS
MANU CANNABIS >10G BUS
MANU CRACK BUS
MANU HALLUCINOGEN BUS
MANU HEROIN (WHITE) BUS
MANU HEROIN(BLACK) BUS
MANU HEROIN(BRN) BUS
MANU LOOK DRUG BUS
MANU METHAMPHET BUS
MANU PCP BUS
MANU SYNTH DRUGS BUS
MANU SYNTH MARIJ BUS
MINOR MISREPR. AGE BUS
MOB ACTION BUS
MONEY LAUNDERING BUS
MOTOR VEHICLE THEFT BUS
OBSCENE MATTER BUS
OBSCENE TEL CALLS BUS
OBSCENITY BUS
OBSTRUCTING IDENTIF BUS
OBSTRUCTING JUSTICE BUS
OTHER ARSON INCIDENT BUS
OTHER CRIME PERSON BUS
OTHER CRIME PROPERTY BUS
OTHER PROSTITUTION BUS
OTHER VEH. OFFENSE BUS
OTHER VIOLATION BUS
PAROLE VIOLATION BUS
PATRONIZE JUV PROST BUS
PAY TV SERVICE OFF BUS
PEEPING TOM BUS
PIMPING BUS
POCKET-PICKING BUS
POSS AMPHETAMINES BUS
POSS BARBITUATES BUS
POSS BURGLARY TOOLS BUS
POSS CANNABIS <= 30G BUS
POSS COCAINE BUS
POSS CRACK BUS
POSS DRUG EQUIPMENT BUS
POSS EXPLOSIVE BUS
POSS FIREARM BUS
POSS HALLUCINOGENS BUS
POSS HEROIN(WHITE) BUS
POSS HYPOD. NEEDLE BUS
POSS LOOK DRUGS BUS
POSS METHAMPHET. BUS
POSS PCP BUS
POSS SYNTH. DRUGS BUS
PREDATORY BUS
PRO EMP HANDS INJ BUS
PROBATION VIOLATION BUS
PROHIBITED PLACES BUS
PROST CALL OPERATION BUS
PUBLIC DEMONST. BUS
PUBLIC INDECENCY BUS
PURSE-SNATCHING BUS
RECKLESS CONDUCT BUS
RECKLESS FIREARM  BUS
RECKLESS HOMICIDE BUS
RESIST OFFICER BUS
RETAIL THEFT BUS
SALE DRUG PARAPH BUS
SALE OBSCENE MINOR BUS
SALE TOBACCO MINOR BUS
SELL FIREWORKS BUS
SELL LIQUOR TO MINOR BUS
SEX ASSLT CHILD FAM  BUS
SEX EXPL CHILD BUS
SEX OFF FAIL REG ADD BUS
SEX OFF FAIL TO REG BUS
SEX OFF PROHIBITED  BUS
SEX REL. IN FAMILY BUS
SOL NARC PUBLICWAY BUS
SOLICIT PUBLIC WAY BUS
STOLEN PROP BUY BUS
STRONGARM  BUS
TAMPER WITH VEHICLE BUS
TELEPHONE THREAT BUS
THEFT <=$500 BUS
THEFT > $500 BUS
THEFT AUTO BUS
THEFT BUILDING BUS
"THEFT CYCLE, SCOOTER BUS"
THEFT FROM COIN-OP  BUS
THEFT MOTOR VEH BUS
THEFT OF LABOR BUS
THEFT OF LOST PROP BUS
"THEFT TRUCK,BUS BUS"
UNAUTHORIZED VIDEO BUS
UNIDENTIFIABLE SOUND BUS
UNLAWFUL  HANDGUN BUS
UNLAWFUL ENTRY BUS
UNLAWFUL INTERFERE BUS
UNLAWFUL POSS AMM BUS
UNLAWFUL POSS ARM BUS
UNLAWFUL POSS GUN BUS
UNLAWFUL RESTRAINT BUS
UNLAWFUL USE COMPUT BUS
UNLAWFUL USE FIREARM BUS
UNLAWFUL USE RIFLE BUS
UNLAWFUL USE SOUND BUS
UNLAWFUL USE WEAPON BUS
VEHICLE TITLE OFF BUS
VEHICULAR HIJACKING BUS
VIO CIVIL NO CONTACT BUS
VIO DOM VIOLENCE BUS
VIO GPS DEVICE BUS
VIO OFF DUTY  BUS
VIO OFF FAIL  ADDR BUS
VIO OFF REGISTRAT BUS
VIO ORDER PROTECT BUS
VIO SMOKING BAN BUS
VIO STALKING ORDER BUS
VIO SUMMARY CLOSURE BUS
WEAPONS VIOLATION BUS
ABUSE CARE FACILITY AUTO
AGG AUTO
AGG A CHILD AUTO
AGG COMP TAMPERING AUTO
AGG CRIM SEX  ABUSE AUTO
AGG CRIM SEX  FAM AUTO
AGG DANG WEAPON AUTO
AGG DOM DANG WEAPON AUTO
AGG DOM FIREARM AUTO
AGG DOM HANDGUN AUTO
AGG DOM KNIFE  INST AUTO
AGG DOM SERIOUS  AUTO
AGG HANDGUN AUTO
AGG HANDS MINOR INJ AUTO
AGG HANDS NO INJ AUTO
AGG HANDS SER INJ AUTO
AGG IDEN.THEFT AUTO
AGG KNIFE AUTO
AGG OTHER FIREARM AUTO
AGG PRO EMP FIREARM AUTO
AGG PRO EMP KNIFE AUTO
AGG PRO EMP WEAPON AUTO
AGG PRO SERIOUS INJ AUTO
AGG SENIOR CITIZEN AUTO
AGG SEX ASSLT CHILD AUTO
AGG VEH. HIJACKING AUTO
AIDING ARR.ESCAPE AUTO
ALTER PRESCRIPTION AUTO
ANIMAL ABUSE AUTO
ANIMAL FIGHTING AUTO
ARMED  INFLUENCE AUTO
ARMED DANG WEAPON AUTO
ARMED FIREARM AUTO
ARMED HANDGUN AUTO
ARMED KNIFE AUTO
ARSON BY FIRE AUTO
ARSON THREAT AUTO
ASSAULT SIMPLE AUTO
ATT AGG KNIFE AUTO
ATT AGG OTHER AUTO
ATT AGG SEX ABUSE AUTO
ATT ARMED FIREARM AUTO
ATT ARMED-HANDGUN AUTO
ATT ARSON AUTO
ATT AUTOMOBILE AUTO
ATT CRIM SEX  ABUSE AUTO
"ATT CYCLE, SCOOTER AUTO"
ATT FIN IDEN THEFT AUTO
ATT FORCIBLE ENTRY AUTO
ATT HANDGUN AUTO
ATT NON-AGG AUTO
ATT POSS CANNABIS AUTO
ATT POSS NARCOTICS AUTO
ATT STRONGARM AUTO
ATT THEFT AUTO
"ATT TRUCK, BUS AUTO"
BATTERY SIMPLE AUTO
BIGAMY AUTO
BOARD PLANE WEAPON AUTO
BOGUS CHECK AUTO
BOMB THREAT AUTO
CANNABIS PLANT AUTO
CHILD ABANDONMENT AUTO
CHILD ABDUCTION AUTO
CHILD ABUSE AUTO
CHILD PORNOGRAPHY AUTO
COMMERCIAL SEX ACTS AUTO
COMPELLING ORG MEMB AUTO
COMPUTER FRAUD AUTO
CONCEALED LICENSE AUTO
CONT MAINT RECORD AUTO
CONTAINER THEFT AUTO
CONTR CRIM  JUVENILE AUTO
CONTR DELINQ CHILD AUTO
COUNTERF CHECK AUTO
COUNTERF DOCUMENT AUTO
CR. DRUG CONSPIRACY AUTO
CREDIT CARD FRAUD AUTO
CRIM DAMAGE PROP AUTO
CRIM DAMAGE VEHICLE AUTO
CRIM DEFACEMENT AUTO
CRIM SEX  ABUSE AUTO
CRIM SEX ABUSE FAM AUTO
CRIM SEX ASSAULT  AUTO
CRIM TRANS OF HIV AUTO
CRIM TRESPASS  AUTO
CRIM TRESPASS LAND AUTO
CYBERSTALKING AUTO
DECEPTIVE PRACTICES AUTO
DEFACE IDENT FIREARM AUTO
DEL CONT PERSON <18 AUTO
DELIVER BARBITUATES AUTO
DELIVER COCAINE AUTO
DOM. BATTERY SIMPLE AUTO
EAVESDROPPING AUTO
EDUC INTIMIDAITON AUTO
EMBEZZLEMENT AUTO
ENDANG LIFE CHILD AUTO
ESCAPE AUTO
EXTORTION AUTO
FALSE FIRE ALARM AUTO
FALSE POLICE REPORT AUTO
FALSE TRP AUTO
FIN EXPLOIT-ELDERLY AUTO
FIN THEFT <=$300 AUTO
FIN THEFT >$300 AUTO
FIRST DEGREE MURDER AUTO
FOID - REVOCATION AUTO
FORCIBLE DETENTION AUTO
FORCIBLE ENTRY AUTO
FORFEIT PROPERTY AUTO
FORGERY AUTO
FOUND PASSPORT AUTO
FOUND S. NARCOTICS AUTO
FRAUD GAME AUTO
GAME DEVICE AUTO
GAME/CARDS AUTO
GAME/DICE AUTO
GUN OFF DUTY CHANGE AUTO
GUN OFF DUTY REG AUTO
GUN OFF NOTIFICATION AUTO
GUN OFF REGISTRATION AUTO
HARASSMENT BY ELECT AUTO
HARASSMENT BY TEL. AUTO
HARBOR RUNAWAY AUTO
HAZARDOUS MAT VIO AUTO
HOME INVASION AUTO
ILLEGAL CASH CARD AUTO
ILLEGAL CONS MINOR AUTO
ILLEGAL POSS CARD AUTO
ILLEGAL POSS MINOR AUTO
IMPERSONATION AUTO
INDECENT SOLICIT AUTO
INST. VANDALISM AUTO
INSURANCE FRAUD AUTO
INTERFERE EDUCATION AUTO
INTERFERE J PROCESS AUTO
INTIMIDATION AUTO
INTOX. COMPOUNDS AUTO
KIDNAPPING AUTO
LIBRARY THEFT AUTO
LICENSE VIOLATION AUTO
LIQ. LIC. VIOLATION AUTO
LOST PASSPORT AUTO
MANU AMPHETAMINES AUTO
MANU CANNABIS <=10G  AUTO
MANU CANNABIS >10G AUTO
MANU CRACK AUTO
MANU HALLUCINOGEN AUTO
MANU HEROIN (WHITE) AUTO
MANU HEROIN(BLACK) AUTO
MANU HEROIN(BRN) AUTO
MANU LOOK DRUG AUTO
MANU METHAMPHET AUTO
MANU PCP AUTO
MANU SYNTH DRUGS AUTO
MANU SYNTH MARIJ AUTO
MINOR MISREPR. AGE AUTO
MOB ACTION AUTO
MONEY LAUNDERING AUTO
MOTOR VEHICLE THEFT AUTO
OBSCENE MATTER AUTO
OBSCENE TEL CALLS AUTO
OBSCENITY AUTO
OBSTRUCTING IDENTIF AUTO
OBSTRUCTING JUSTICE AUTO
OTHER ARSON INCIDENT AUTO
OTHER CRIME PERSON AUTO
OTHER CRIME PROPERTY AUTO
OTHER PROSTITUTION AUTO
OTHER VEH. OFFENSE AUTO
OTHER VIOLATION AUTO
PAROLE VIOLATION AUTO
PATRONIZE JUV PROST AUTO
PAY TV SERVICE OFF AUTO
PEEPING TOM AUTO
PIMPING AUTO
POCKET-PICKING AUTO
POSS AMPHETAMINES AUTO
POSS BARBITUATES AUTO
POSS BURGLARY TOOLS AUTO
POSS CANNABIS <= 30G AUTO
POSS COCAINE AUTO
POSS CRACK AUTO
POSS DRUG EQUIPMENT AUTO
POSS EXPLOSIVE AUTO
POSS FIREARM AUTO
POSS HALLUCINOGENS AUTO
POSS HEROIN(WHITE) AUTO
POSS HYPOD. NEEDLE AUTO
POSS LOOK DRUGS AUTO
POSS METHAMPHET. AUTO
POSS PCP AUTO
POSS SYNTH. DRUGS AUTO
PREDATORY AUTO
PRO EMP HANDS INJ AUTO
PROBATION VIOLATION AUTO
PROHIBITED PLACES AUTO
PROST CALL OPERATION AUTO
PUBLIC DEMONST. AUTO
PUBLIC INDECENCY AUTO
PURSE-SNATCHING AUTO
RECKLESS CONDUCT AUTO
RECKLESS FIREARM  AUTO
RECKLESS HOMICIDE AUTO
RESIST OFFICER AUTO
RETAIL THEFT AUTO
SALE DRUG PARAPH AUTO
SALE OBSCENE MINOR AUTO
SALE TOBACCO MINOR AUTO
SELL FIREWORKS AUTO
SELL LIQUOR TO MINOR AUTO
SEX ASSLT CHILD FAM  AUTO
SEX EXPL CHILD AUTO
SEX OFF FAIL REG ADD AUTO
SEX OFF FAIL TO REG AUTO
SEX OFF PROHIBITED  AUTO
SEX REL. IN FAMILY AUTO
SOL NARC PUBLICWAY AUTO
SOLICIT PUBLIC WAY AUTO
STOLEN PROP BUY AUTO
STRONGARM  AUTO
TAMPER WITH VEHICLE AUTO
TELEPHONE THREAT AUTO
THEFT <=$500 AUTO
THEFT > $500 AUTO
THEFT AUTO AUTO
THEFT BUILDING AUTO
"THEFT CYCLE, SCOOTER AUTO"
THEFT FROM COIN-OP  AUTO
THEFT MOTOR VEH AUTO
THEFT OF LABOR AUTO
THEFT OF LOST PROP AUTO
"THEFT TRUCK,BUS AUTO"
UNAUTHORIZED VIDEO AUTO
UNIDENTIFIABLE SOUND AUTO
UNLAWFUL  HANDGUN AUTO
UNLAWFUL ENTRY AUTO
UNLAWFUL INTERFERE AUTO
UNLAWFUL POSS AMM AUTO
UNLAWFUL POSS ARM AUTO
UNLAWFUL POSS GUN AUTO
UNLAWFUL RESTRAINT AUTO
UNLAWFUL USE COMPUT AUTO
UNLAWFUL USE FIREARM AUTO
UNLAWFUL USE RIFLE AUTO
UNLAWFUL USE SOUND AUTO
UNLAWFUL USE WEAPON AUTO
VEHICLE TITLE OFF AUTO
VEHICULAR HIJACKING AUTO
VIO CIVIL NO CONTACT AUTO
VIO DOM VIOLENCE AUTO
VIO GPS DEVICE AUTO
VIO OFF DUTY  AUTO
VIO OFF FAIL  ADDR AUTO
VIO OFF REGISTRAT AUTO
VIO ORDER PROTECT AUTO
VIO SMOKING BAN AUTO
VIO STALKING ORDER AUTO
VIO SUMMARY CLOSURE AUTO
WEAPONS VIOLATION AUTO
ABUSE CARE FACILITY BANK
AGG BANK
AGG A CHILD BANK
AGG COMP TAMPERING BANK
AGG CRIM SEX  ABUSE BANK
AGG CRIM SEX  FAM BANK
AGG DANG WEAPON BANK
AGG DOM DANG WEAPON BANK
AGG DOM FIREARM BANK
AGG DOM HANDGUN BANK
AGG DOM KNIFE  INST BANK
AGG DOM SERIOUS  BANK
AGG HANDGUN BANK
AGG HANDS MINOR INJ BANK
AGG HANDS NO INJ BANK
AGG HANDS SER INJ BANK
AGG IDEN.THEFT BANK
AGG KNIFE BANK
AGG OTHER FIREARM BANK
AGG PRO EMP FIREARM BANK
AGG PRO EMP KNIFE BANK
AGG PRO EMP WEAPON BANK
AGG PRO SERIOUS INJ BANK
AGG SENIOR CITIZEN BANK
AGG SEX ASSLT CHILD BANK
AGG VEH. HIJACKING BANK
AIDING ARR.ESCAPE BANK
ALTER PRESCRIPTION BANK
ANIMAL ABUSE BANK
ANIMAL FIGHTING BANK
ARMED  INFLUENCE BANK
ARMED DANG WEAPON BANK
ARMED FIREARM BANK
ARMED HANDGUN BANK
ARMED KNIFE BANK
ARSON BY FIRE BANK
ARSON THREAT BANK
ASSAULT SIMPLE BANK
ATT AGG KNIFE BANK
ATT AGG OTHER BANK
ATT AGG SEX ABUSE BANK
ATT ARMED FIREARM BANK
ATT ARMED-HANDGUN BANK
ATT ARSON BANK
ATT AUTOMOBILE BANK
ATT CRIM SEX  ABUSE BANK
"ATT CYCLE, SCOOTER BANK"
ATT FIN IDEN THEFT BANK
ATT FORCIBLE ENTRY BANK
ATT HANDGUN BANK
ATT NON-AGG BANK
ATT POSS CANNABIS BANK
ATT POSS NARCOTICS BANK
ATT STRONGARM BANK
ATT THEFT BANK
"ATT TRUCK, BUS BANK"
BATTERY SIMPLE BANK
BIGAMY BANK
BOARD PLANE WEAPON BANK
BOGUS CHECK BANK
BOMB THREAT BANK
CANNABIS PLANT BANK
CHILD ABANDONMENT BANK
CHILD ABDUCTION BANK
CHILD ABUSE BANK
CHILD PORNOGRAPHY BANK
COMMERCIAL SEX ACTS BANK
COMPELLING ORG MEMB BANK
COMPUTER FRAUD BANK
CONCEALED LICENSE BANK
CONT MAINT RECORD BANK
CONTAINER THEFT BANK
CONTR CRIM  JUVENILE BANK
CONTR DELINQ CHILD BANK
COUNTERF CHECK BANK
COUNTERF DOCUMENT BANK
CR. DRUG CONSPIRACY BANK
CREDIT CARD FRAUD BANK
CRIM DAMAGE PROP BANK
CRIM DAMAGE VEHICLE BANK
CRIM DEFACEMENT BANK
